Titulo;Autores;Tipo;Fecha;Institucion;Revista;Editorial;Pages;doi;isbn;Base;Enlace
Global Dataset of Solar Power Plants: Multidimensional Integration and Analysis;Anibal Mantilla-Guerra, Christian Mejia-Escobar, Jorge Azorin-Lopez, Jose Garcia-Rodriguez, Byron Fernando Tarco, Karen Santamaria;Paper preprint;2026-03-23;UCE-UA;arXiv;arXiv;21;https://doi.org/10.48550/arXiv.2603.20601;2331-8422;ROAD;https://arxiv.org/abs/2603.20601
Automatización de Informes Geotécnicos para Macizos Rocosos con IA;Christofer Valencia, Alexis Llumigusín, Silvia Alvarez, Abrahan Arias, Christian Mejia-Escobar;Paper preprint;2025-10-27;UCE;arXiv;arXiv;17;https://doi.org/10.48550/arXiv.2511.04690;2331-8422;ROAD;https://arxiv.org/abs/2511.04690
Fragmentación de Roca por Voladura en Minería a Cielo Abierto: Predicción con IA;Steven Toapanta-Delgado, Byron GuerreroByron Guerrero, Christian Mejia-Escobar;Paper revista;2025-10-15;UCE;Revista Tecnológica - ESPOL;ESPOL;38-54;https://doi.org/10.37815/rte.v37nE1.1356;0257 - 1749;DOAJ;https://rte.espol.edu.ec/index.php/tecnologica/en/article/view/1356
Geolog-IA: Sistema Conversacional sobre Tesis Académicas;Micaela Fuel Pozo, Andrea Guatumillo, Yeseña Tipan Llumiquinga, Kelly Lascano Aguirre, Marilyn Castillo Jara, Christian Mejia-Escobar;Paper preprint;2025-10-03;UCE;arXiv;arXiv;17;https://doi.org/10.48550/arXiv.2510.02653;2331-8422;ROAD;https://arxiv.org/abs/2510.02653
Methodological Framework for the Creation of Digital Twins for Photovoltaic Power Plants;Anibal Mantilla-Guerra, Christian Mejia-Escobar, Jorge Azorin-Lopez & Jose Garcia-Rodriguez;Paper conferencia;2025-08-08;UCE-UA;Advances in Computational Intelligence ( IWANN 2025);Springer Nature;575-585;https://doi.org/10.1007/978-3-032-02725-2_45;978-3-032-02724-5;Scopus;https://link.springer.com/chapter/10.1007/978-3-032-02725-2_45
Detección y Cuantificación de Erosión Fluvial con Visión Artificial;Paúl Maji, Marlon Túquerres, Stalin Valencia, Marcela Valenzuela, Christian Mejia-Escobar;Paper preprint;2025-07-15;UCE;arXiv;arXiv;18;https://doi.org/10.48550/arXiv.2507.11301;2331-8422;ROAD;https://arxiv.org/abs/2507.11301
Automatic description of rock thin sections: A web application;Stalyn Paucar, Christian Mejia-Escobar, Victor Collaguazo;Paper revista;2025-05-17;UCE;Artificial Intelligence in Geosciences;Elsevier;12;https://doi.org/10.1016/j.aiig.2025.100118;2666- 5441;Web Of Science;https://www.sciencedirect.com/science/article/pii/S2666544125000140?via%3Dihub
Improving landslide prediction by computer vision and deep learning;Byron Guerrero-Rodriguez, Jose Garcia-Rodriguez, Jaime Salvador, Christian Mejia-Escobar, Shirley Cadena, Jairo Cepeda, Manuel Benavent-Lledo, and David Mulero-Perez;Paper revista;2023-11-16;UCE-UA;Integrated Computer-Aided Engineering;IOS Press;77-94;https://doi.org/10.3233/ICA-230717;10692509;Scopus;https://journals.sagepub.com/doi/10.3233/ICA-230717
Improving Landslides Prediction: Meteorological Data Preprocessing Based on Supervised and Unsupervised Learning;Byron Guerrero-Rodriguez, Jaime Salvador-Meneses, Jose Garcia-Rodriguez & Christian Mejia-Escobar;Paper revista;2023-11-07;UCE-UA;Cybernetics and Systems;Taylor & Francis;1332-1356;https://doi.org/10.1080/01969722.2023.2240647;1969722;Scopus;https://www.tandfonline.com/doi/full/10.1080/01969722.2023.2240647
Towards a Better Performance in Facial Expression Recognition: A Data-Centric Approach;Christian Mejia-Escobar, Miguel Cazorla, Ester Martinez-Martin;Paper revista;2023-11-03;UCE-UA;Computational Intelligence and Neuroscience;Hindawi;22;https://doi.org/10.1155/2023/1394882;1687-5265;Web Of Science;https://onlinelibrary.wiley.com/doi/10.1155/2023/1394882
A Large Visual, Qualitative, and Quantitative Dataset for Web Intelligence Applications;Christian Mejia-Escobar, Miguel Cazorla, Ester Martinez-Martin;Paper revista;2023-10-10;UCE-UA;Computational Intelligence and Neuroscience;Hindawi;21;https://doi.org/10.1155/2023/1094823;1687-5265;Web Of Science;https://onlinelibrary.wiley.com/doi/10.1155/2023/1094823
Volcanic ash delimitation using Artificial Intelligence based on Pix2Pix;Christian Carrillo, Gissela Torres, Christian Mejia-Escobar;Paper preprint;2023-07-24;UCE;arXiv;arXiv;18;https://doi.org/10.48550/arXiv.2307.12970;2331-8422;ROAD;https://arxiv.org/abs/2307.12970
Improving Facial Expression Recognition Through Data Preparation and Merging;Christian Mejia-Escobar, Miguel Cazorla, Ester Martinez-Martin;Paper revista;2023-07-10;UCE-UA;IEEE Access;IEEE;71339-71360;10.1109/ACCESS.2023.3293728;21693536;Scopus;https://ieeexplore.ieee.org/document/10177163
Estimación de áreas de cultivo mediante Deep Learning y programación convencional;Javier Caicedo, Pamela Acosta, Romel Pozo, Henry Guilcapi, Christian Mejia-Escobar;Paper preprint;2022-07-25;UCE;arXiv;arXiv;21;https://doi.org/10.48550/arXiv.2207.12310 ;2331-8422;ROAD;https://arxiv.org/abs/2207.12310
Landslide Prediction with Machine Learning and Time Windows;Byron Guerrero-Rodriguez, Jose Garcia-Rodriguez, Jaime Salvador, Christian Mejia-Escobar, Michelle Bonifaz & Oswaldo Gallardo;Paper conferencia;2022-05-24;UCE-UA;Bio-inspired Systems and Applications: from Robotics to Ambient Intelligence (IWINAC 2022);Springer Nature;193-202;https://doi.org/10.1007/978-3-031-06527-9_19;978-3-031-06526-2;Web Of Science;https://link.springer.com/chapter/10.1007/978-3-031-06527-9_19
Delimitación Automática de Ceniza Volcánica en Imágenes Satelitales mediante Deep Learning;Aldás-Núñez, Roberth Joel, Katherin Vanessa Tuz-Chamorro, Jair Alejandro Vega-Ocaña, Marco Sebastián Velasco-Haro, y Christian Iván Mejía-Escobar;Paper revista;2022-01-31;UCE;FIGEMPA: Investigación Y Desarrollo;FIGEMPA;48-58;https://doi.org/10.29166/revfig.v13i1.3121;1390-7042;Latin Index;https://revistadigital.uce.edu.ec/index.php/RevFIG/article/view/3121
Webpage Categorization Using Deep Learning;Christian Mejia-Escobar, Miguel Cazorla & Ester Martinez-Martin;Paper conferencia;2021-09-23;UCE-UA;16th International Conference on Soft Computing Models in Industrial and Environmental Applications (SOCO 2021);Springer Nature;358-368;https://doi.org/10.1007/978-3-030-87869-6_34;978-3-030-87868-9;Web Of Science;https://link.springer.com/chapter/10.1007/978-3-030-87869-6_34
Java-Based Framework For Implementing Soft Real-Time Distributed Applications;Rodríguez, José and Decouchant, Dominique and Mendoza, Sonia and Mejia-Escobar, Christian;Paper revista;2008-10-31;CINVESTAV- IPN;Proceedings Of The Mexican International Conference On Computer Science;IEEE;163-168;10.1109/ENC.2008.38;1550-4069;Scimago;https://ieeexplore.ieee.org/document/4653251
